d5_name,主动掌控对话节奏,异议应对韧性,决策推进与闭环,量化价值呈现,灵活应变能力,情绪感染力,城市士气综合得分
上海,8.053225806451612,5.831404958677686,8.140322580645162,5.830645161290323,6.5112903225806456,7.140322580645161,7.061082450553935
北京,7.788048484848484,5.826412776412776,7.02779393939394,4.7079272727272725,6.374533333333333,6.684193939393939,6.99286341835906
广州,8.145,5.268000000000001,7.496250000000001,5.26125,6.776249999999999,7.034999999999999,6.896560074360724
杭州,8.04470588235294,5.902702702702702,7.95058823529412,4.475294117647059,5.454117647058824,7.183529411764709,6.78048761030534
深圳,8.169756097560976,5.551147540983606,7.650243902439025,5.665365853658535,6.990731707317074,7.015121951219514,7.218140796666442
呼叫中心,6.86486,4.66667,6.2973,5.64865,5.97297,6.13514,6.12162
东莞,6.83333,4.72727,5.66667,4.83333,4.83333,5.58333,5.66667
佛山,6.46667,5.15385,6.53333,5.06667,5.13333,5.8,5.86667
南昌,6.77778,5.77778,6.22222,5.0,5.22222,5.88889,6.05556
厦门,6.66667,4.54545,6.25,5.25,6.08333,5.75,5.75
合肥,6.8125,5.0,6.625,5.4375,5.4375,6.0,6.0
天津,6.9,5.33333,7.4,5.4,5.5,5.9,6.1
宁波,7.3125,4.5,7.1875,4.375,5.5625,6.1875,6.125
无锡,6.66667,5.2,6.0,5.5,5.66667,5.5,6.0
昆明,6.7,4.66667,6.6,5.6,5.5,5.8,6.0
济南,6.5,4.4,5.66667,2.5,4.33333,5.0,5.16667
福州,7.0,4.7,6.53846,5.0,5.30769,6.0,6.0
苏州,6.33333,3.64286,5.86667,3.0,4.53333,5.46667,5.46667
郑州,7.07143,4.54545,6.5,5.07143,5.71429,6.07143,6.0
金华,6.85714,5.5,6.42857,5.42857,5.42857,6.0,6.14286
长沙,6.95238,4.38889,6.14286,4.95238,5.61905,5.90476,6.0
青岛,7.1,5.0,7.3,5.5,6.2,6.0,6.3
石家庄,7.22222,4.5,7.33333,5.33333,5.55556,6.22222,6.33333
